	Fit_Data	Fit_FitResult	Fit_SeriesBck	Fit_2_gauss	Fit_3_gauss	Fit_4_gauss
530.156	1132.9221	1224.0931049942	1224.04984006041	505.964965430478	505.938101669739	505.954497833572
530.256	1184.1857	1224.10301614095	1224.02265585093	505.981710079681	505.938104858158	505.974845352179
530.356	1175.8958	1224.14564285032	1223.99547164145	506.008084885128	505.938113740664	506.018272583085
530.456	1205.3591	1224.24967319337	1223.96828743196	506.049131428047	505.938137779561	506.108416553804
530.556	1171.2749	1224.46763554018	1223.94110322248	506.112245354891	505.938200976228	506.290385986584
530.656	1152.0371	1224.89368726914	1223.91391901299	506.208123872525	505.93836235808	506.647582025542
530.756	1207.9502	1225.69253498484	1223.88673480351	506.352020299533	505.938762647869	507.329317233932
530.856	1189.212	1227.14462007948	1223.85955059403	506.56537154571	505.939726987547	508.594270952194
530.956	1185.2046	1229.71371262424	1223.83236638454	506.877863876024	505.941983280068	510.875799083603
531.056	1194.1673	1234.1432711356	1223.80518217506	507.32999413235	505.947110030473	514.875284797723
531.156	1262.5156	1241.58652322203	1223.77799796557	507.976164661359	505.95842201967	521.688238575425
531.256	1307.0023	1253.77120089382	1223.75081375609	508.888317337689	505.982657471334	532.963712328711
531.356	1376.3327	1273.19227480884	1223.72362954661	510.160062395221	506.033070181226	551.089812685782
531.456	1395.3736	1303.31438653921	1223.69644533712	511.91118930701	506.134873703008	579.386178192072
531.556	1424.1382	1348.75050654218	1223.66926112764	514.292359346086	506.334432705284	622.268753363169
531.656	1513.1277	1415.36675987607	1223.64207691816	517.489674830703	506.714107334899	685.335200792312
531.756	1592.0571	1510.24939080215	1223.61489270867	521.728703769223	507.415114647622	775.304979676637
531.856	1715.9096	1641.46422047905	1223.58770849919	527.27741988887	508.670956574126	899.742435516862
531.956	1854.4654	1817.54812001922	1223.5605242897	534.447410184279	510.853534783795	1066.50095076144
532.056	2038.6564	2046.70119643379	1223.53334008022	543.592622283922	514.532589762429	1282.85694430722
532.156	2316.2206	2335.69909118935	1223.50615587074	555.104892005797	520.546118836048	1554.35622447676
532.256	2648.4161	2688.6124700252	1223.47897166125	569.405528275177	530.074672764947	1883.46759732382
532.356	3044.0282	3105.49361588024	1223.45178745177	586.932357162652	544.706059898367	2268.21771136745
532.456	3551.4332	3581.24992282107	1223.42460324228	608.121853142336	566.469867228188	2701.04789920826
532.556	4064.2994	4104.95037037528	1223.3974190328	633.386319013305	597.815103071899	3168.16582925727
532.656	4654.1907	4659.78655205152	1223.37023482332	663.086509349233	641.50177983959	3649.64232803938
532.756	5296.7656	5223.82760363904	1223.34305061383	697.500604140767	700.381380309186	4120.41686857525
532.856	5753.5243	5771.57683799331	1223.31586640435	736.790991880474	777.054376022065	4552.22990368642
532.956	6227.1291	6276.18177439132	1223.28868219487	780.970862244942	873.416065526123	4916.32046442539
533.056	6705.2028	6712.00502456985	1223.26149798538	829.873073912966	990.132851482928	5186.55190118858
533.156	7184.0391	7057.16976747463	1223.2343137759	883.124083788921	1126.12403547256	5342.50163443725
533.256	7315.9731	7295.67907757822	1223.20712956641	940.12583381497	1278.15056930765	5372.00984488919
533.356	7402.7621	7418.78189162362	1223.17994535693	1000.04833705919	1440.62201403717	5272.74589517033
533.456	7372.1772	7425.40417894474	1223.15276114745	1061.83525455238	1605.71802593175	5052.51243731316
533.556	7249.9953	7321.64535602561	1223.12557693796	1124.22400764314	1763.87793340614	4728.23213803836
533.656	7170.9922	7119.5106455846	1223.09839272848	1185.78096249491	1904.64594951898	4323.79964084224
533.756	6850.0545	6835.16797440677	1223.07120851899	1244.95102556122	2017.78291965462	3867.17712067192
533.856	6537.39	6487.05863040617	1223.04402430951	1300.11970576567	2094.48661002434	3387.22259030665
533.956	6041.1087	6094.1537792027	1223.01684010003	1349.68445809437	2128.52067729482	2910.74610371349
534.056	5635.1673	5674.55568767315	1222.98965589054	1392.1310609523	2117.05182196717	2460.19744886314
534.156	5249.5229	5244.52756384968	1222.96247168106	1426.11002494061	2061.03926312511	2052.2301041029
534.256	4837.7707	4817.93394262464	1222.93528747158	1450.50768777802	1965.10227089376	1697.20299648129
534.356	4399.1425	4406.0082969643	1222.90810326209	1464.50678276631	1836.89113109173	1399.51657984416
534.456	4017.7558	4017.34328431373	1222.88091905261	1467.63188924625	1686.08036285818	1158.56441315669
534.556	3670.7719	3658.01353034851	1222.85373484312	1459.77624008851	1523.16786302975	970.029992387126
534.656	3353.9828	3331.773698312	1222.82655063364	1441.20777799271	1358.28584261718	827.267827068473
534.756	3085.1103	3040.30741480722	1222.79936642416	1412.55398146044	1200.2068752856	722.561491637028
534.856	2767.7785	2783.52279943691	1222.77218221467	1374.76665895288	1055.67072616695	648.127532102399
534.956	2541.7372	2559.894030655	1222.74499800519	1329.06946613764	929.082359581796	596.811506930376
535.056	2320.6409	2366.83953024959	1222.7178137957	1276.89218140502	822.558181095161	562.485653953705
535.156	2196.0941	2201.11407558661	1222.69062958622	1219.79665782333	736.242120372612	540.198967804449
535.256	2084.8451	2059.18245478821	1222.66344537674	1159.39978184695	668.784305870282	526.149221694238
535.356	1913.4978	1937.54096314673	1222.63626116725	1097.29869165866	617.873338999621	517.54697132119
535.456	1823.504	1832.96063095466	1222.60907695777	1035.00297679128	580.732499328338	512.430377877272
535.556	1732.0568	1742.63965943269	1222.58189274829	973.877678513578	554.521106597655	509.473281573171
535.656	1651.1203	1664.26763122163	1222.5547085388	915.099754290195	536.615090976846	507.812377415786
535.756	1637.5056	1596.01651399943	1222.52752432932	859.629393849369	524.768267821634	506.905627999115
535.856	1486.9715	1536.48077091802	1222.50034011983	808.196313574462	517.174021182782	506.424396040943
535.956	1445.3769	1484.5904955769	1222.47315591035	761.300028980805	512.455527952406	506.176082733339
536.056	1453.8129	1439.5184666506	1222.44597170087	719.222203094535	509.613095868305	506.05149598689
536.156	1439.5998	1400.59626627997	1222.41878749138	682.048547746829	507.952522357027	505.990708684734
536.256	1413.2642	1367.24809120909	1222.3916032819	649.69743431867	507.011489324972	505.961864283551
536.356	1407.063	1338.94510950624	1222.36441907241	621.952335510875	506.494102919857	505.948552003091
536.456	1355.2253	1315.17900796841	1222.33723486293	598.495428197914	506.218068992305	505.94257591526
536.556	1294.3382	1295.45093871517	1222.31005065345	578.940079119112	506.075142684515	505.939966258094
536.656	1280.9238	1279.27117568588	1222.28286644396	562.860441494758	506.003310096373	505.938857650781
536.756	1265.7458	1266.16498945637	1222.25568223448	549.816943879619	505.968263858032	505.938399484237
536.856	1239.2918	1255.68106995193	1222.228498025	539.376993157886	505.95166350699	505.938215262062
536.956	1280.8839	1247.39988107005	1222.20131381551	531.130695216312	505.944028845926	505.938143192299
537.056	1281.4093	1240.94035346528	1222.17412960603	524.701788791314	505.940619308748	505.938115759186
537.156	1226.0079	1235.96416683651	1222.14694539654	519.75427518911	505.939140652391	505.938105598462
537.256	1232.3705	1232.17748873699	1222.11976118706	515.995407741683	505.938517871776	505.938101936472
537.356	1244.6964	1229.33043019204	1222.09257697758	513.175789447459	505.938263114832	505.938100652171
537.456	1237.9849	1227.21468673536	1222.06539276809	511.087331858223	505.938161895194	505.938100213855
537.556	1241.7991	1225.65990456438	1222.03820855861	509.559773106043	505.938122831449	505.938100068279
537.656	1182.1499	1224.52929127619	1222.01102434913	508.456358718869	505.938108186967	505.938100021225
537.756	1241.7849	1223.71491743236	1221.98384013964	507.669174432482	505.938102853814	505.938100006424
