	O1s_f(T)_Wave0		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave4		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave8		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave12		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave16		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave20		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3
530.156	1093.5498	530.156	1069.22384508959	530.156	1069.22153986781	530.156	1069.21763787024	530.156	4243.91455	530.156	4264.47807456927	530.156	4264.47550332506	530.156	4264.47730665408	530.156	7478.4803	530.156	7555.841741945	530.156	7555.83783987689	530.156	7555.78353124565	530.156	10687.43745	530.156	10754.5853738385	530.156	10754.580555945	530.156	10754.3283037535	530.156	13926.0862	530.156	13978.7340608373	530.156	13978.7301665383	530.156	13977.98191636	530.156	17124.55335	530.156	17174.4494529299	530.156	17174.4463651163	530.156	17173.0548338483
530.256	1044.6831	530.256	1069.14203625838	530.256	1069.13678033624	530.256	1069.13169060856	530.256	4263.06275	530.256	4264.50162400956	530.256	4264.49603999526	530.256	4264.50030602142	530.256	7522.7958	530.256	7555.96889542213	530.256	7555.95979237552	530.256	7555.87561062793	530.256	10755.78275	530.256	10755.0440101524	530.256	10755.0326853411	530.256	10754.6428693213	530.256	13930.3694	530.256	13979.9890634297	530.256	13979.9797764697	530.256	13978.8386326849	530.256	17175.81695	530.256	17176.0097695995	530.256	17176.0023533231	530.256	17173.9041909034
530.356	1056.3491	530.356	1069.06623277607	530.356	1069.05458351998	530.356	1069.04918598049	530.356	4261.83075	530.356	4264.52873353968	530.356	4264.51694492485	530.356	4264.5264972192	530.356	7507.0645	530.356	7556.12181925461	530.356	7556.10117535451	530.356	7555.97402988521	530.356	10721.11335	530.356	10755.5843034619	530.356	10755.5584262305	530.356	10754.9654803914	530.356	13957.0861	530.356	13981.4417770551	530.356	13981.4202477055	530.356	13979.7021987384	530.356	17167.52705	530.356	17177.9018818051	530.356	17177.8845663545	530.356	17174.7591186701
530.456	1017.7758	530.456	1069.00150647469	530.456	1068.97640723739	530.456	1068.97373799966	530.456	4250.40265	530.456	4264.56263962573	530.456	4264.53844649367	530.456	4264.55888833368	530.456	7507.1519	530.456	7556.31724742781	530.456	7556.27173711794	530.456	7556.08577469876	530.456	10736.23275	530.456	10756.2488994449	530.456	10756.1914193197	530.456	10755.3051419353	530.456	13949.6724	530.456	13983.1809805251	530.456	13983.1324627021	530.456	13980.5805108757	530.456	17196.99035	530.456	17180.2635486951	530.456	17180.2242484957	530.456	17175.6261320112
530.556	1067.3287	530.556	1068.95702888394	530.556	1068.9044591332	530.556	1068.91231055107	530.556	4266.57605	530.556	4264.6091679221	530.556	4264.56090268154	530.556	4264.60294703943	530.556	7508.0158	530.556	7556.58308392708	530.556	7556.48555332669	530.556	7556.22467339305	530.556	10735.38515	530.556	10757.102751253	530.556	10756.978634426	530.556	10755.6798372871	530.556	13949.3073	530.556	13985.3327243621	530.556	13985.2264362331	530.556	13981.4896048458	530.556	17162.90615	530.556	17183.2835249416	530.556	17183.1968150245	530.556	17176.5185703212
530.656	1072.0293	530.656	1068.94907149662	530.656	1068.84203685174	530.656	1068.87787748317	530.656	4291.15405	530.656	4264.67847018952	530.656	4264.58486715776	530.656	4264.66827142788	530.656	7527.47	530.656	7556.96584125995	530.656	7556.76265933794	530.656	7556.41720311845	530.656	10733.52185	530.656	10758.24521321	530.656	10757.9846838428	530.656	10756.1243084774	530.656	14017.7232	530.656	13988.075868339	530.656	13987.8495179314	530.656	13982.4609907882	530.656	17143.66835	530.656	17187.219002951	530.656	17187.0330274021	530.656	17177.4628645453
530.756	1063.5039	530.756	1069.00584717445	530.756	1068.7939984329	530.756	1068.89379361781	530.756	4291.86425	530.756	4264.78764971081	530.756	4264.61118477706	530.756	4264.77111992711	530.756	7532.8055	530.756	7557.54263619542	530.756	7557.13116229612	530.756	7556.71237349953	530.756	10737.71755	530.756	10759.8287241023	530.756	10759.2971108898	530.756	10756.7034509727	530.756	14027.162	530.756	13991.6645541815	530.756	13991.1959665075	530.756	13983.5545517186	530.756	17199.58145	530.756	17192.4192929233	530.756	17192.0315391893	530.756	17178.5096713227
530.856	1062.371	530.856	1069.17500689752	530.856	1068.76740099355	530.856	1069.0006528182	530.856	4259.45815	530.856	4264.96452724884	530.856	4264.64112727485	530.856	4264.93804156461	530.856	7571.2388	530.856	7558.43996599241	530.856	7557.62991458391	530.856	7557.1978294125	530.856	10735.09175	530.856	10762.0872050766	530.856	10761.0327018593	530.856	10757.5343996275	530.856	13969.9915	530.856	13996.4607561524	530.856	13995.5177522249	530.856	13984.8802916361	530.856	17180.84325	530.856	17199.3583068814	530.856	17198.5724034417	530.856	17179.7528496208
530.956	1062.9891	530.956	1069.53472553594	530.956	1068.77235148671	530.956	1069.26652300142	530.956	4281.77335	530.956	4265.25273150688	530.956	4264.67658278169	530.956	4265.21077691306	530.956	7543.1896	530.956	7559.86204776794	530.956	7558.3118184992	530.956	7558.02488567652	530.956	10764.52135	530.956	10765.378148383	530.956	10763.3447938257	530.956	10758.8213096174	530.956	13975.9853	530.956	14002.9810587825	530.956	14001.1362591474	530.956	13986.6334110075	530.956	17176.83585	530.956	17208.6793013125	530.956	17207.1308574968	530.956	17181.3604185891
531.056	1058.4493	531.056	1070.20926285374	531.056	1068.82311739981	531.056	1069.80139644409	531.056	4262.06875	531.056	4265.71811303369	531.056	4264.72031580972	531.056	4265.65241200908	531.056	7570.3563	531.056	7562.1317869296	531.056	7559.24780626506	531.056	7559.44551547611	531.056	10758.97335	531.056	10770.2429013963	531.056	10766.431441284	531.056	10760.9074738225	531.056	14035.5744	531.056	14011.9626350803	531.056	14008.4543250274	531.056	13989.1482450893	531.056	17185.79855	531.056	17221.2561318207	531.056	17218.2903802057	531.056	17183.6227549808
