O1s_f(T)_Wave0	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave4	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave8	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave12	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave16	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave20	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3
1093.5498	1069.22384508959	1069.22153986781	1069.21763787024	4243.91455	4264.47807456927	4264.47550332506	4264.47730665408	7478.4803	7555.841741945	7555.83783987689	7555.78353124565	10687.43745	10754.5853738385	10754.580555945	10754.3283037535	13926.0862	13978.7340608373	13978.7301665383	13977.98191636	17124.55335	17174.4494529299	17174.4463651163	17173.0548338483
1044.6831	1069.14203625838	1069.13678033624	1069.13169060856	4263.06275	4264.50162400956	4264.49603999526	4264.50030602142	7522.7958	7555.96889542213	7555.95979237552	7555.87561062793	10755.78275	10755.0440101524	10755.0326853411	10754.6428693213	13930.3694	13979.9890634297	13979.9797764697	13978.8386326849	17175.81695	17176.0097695995	17176.0023533231	17173.9041909034
1056.3491	1069.06623277607	1069.05458351998	1069.04918598049	4261.83075	4264.52873353968	4264.51694492485	4264.5264972192	7507.0645	7556.12181925461	7556.10117535451	7555.97402988521	10721.11335	10755.5843034619	10755.5584262305	10754.9654803914	13957.0861	13981.4417770551	13981.4202477055	13979.7021987384	17167.52705	17177.9018818051	17177.8845663545	17174.7591186701
1017.7758	1069.00150647469	1068.97640723739	1068.97373799966	4250.40265	4264.56263962573	4264.53844649367	4264.55888833368	7507.1519	7556.31724742781	7556.27173711794	7556.08577469876	10736.23275	10756.2488994449	10756.1914193197	10755.3051419353	13949.6724	13983.1809805251	13983.1324627021	13980.5805108757	17196.99035	17180.2635486951	17180.2242484957	17175.6261320112
1067.3287	1068.95702888394	1068.9044591332	1068.91231055107	4266.57605	4264.6091679221	4264.56090268154	4264.60294703943	7508.0158	7556.58308392708	7556.48555332669	7556.22467339305	10735.38515	10757.102751253	10756.978634426	10755.6798372871	13949.3073	13985.3327243621	13985.2264362331	13981.4896048458	17162.90615	17183.2835249416	17183.1968150245	17176.5185703212
1072.0293	1068.94907149662	1068.84203685174	1068.87787748317	4291.15405	4264.67847018952	4264.58486715776	4264.66827142788	7527.47	7556.96584125995	7556.76265933794	7556.41720311845	10733.52185	10758.24521321	10757.9846838428	10756.1243084774	14017.7232	13988.075868339	13987.8495179314	13982.4609907882	17143.66835	17187.219002951	17187.0330274021	17177.4628645453
1063.5039	1069.00584717445	1068.7939984329	1068.89379361781	4291.86425	4264.78764971081	4264.61118477706	4264.77111992711	7532.8055	7557.54263619542	7557.13116229612	7556.71237349953	10737.71755	10759.8287241023	10759.2971108898	10756.7034509727	14027.162	13991.6645541815	13991.1959665075	13983.5545517186	17199.58145	17192.4192929233	17192.0315391893	17178.5096713227
1062.371	1069.17500689752	1068.76740099355	1069.0006528182	4259.45815	4264.96452724884	4264.64112727485	4264.93804156461	7571.2388	7558.43996599241	7557.62991458391	7557.1978294125	10735.09175	10762.0872050766	10761.0327018593	10757.5343996275	13969.9915	13996.4607561524	13995.5177522249	13984.8802916361	17180.84325	17199.3583068814	17198.5724034417	17179.7528496208
1062.9891	1069.53472553594	1068.77235148671	1069.26652300142	4281.77335	4265.25273150688	4264.67658278169	4265.21077691306	7543.1896	7559.86204776794	7558.3118184992	7558.02488567652	10764.52135	10765.378148383	10763.3447938257	10758.8213096174	13975.9853	14002.9810587825	14001.1362591474	13986.6334110075	17176.83585	17208.6793013125	17207.1308574968	17181.3604185891
1058.4493	1070.20926285374	1068.82311739981	1069.80139644409	4262.06875	4265.71811303369	4264.72031580972	4265.65241200908	7570.3563	7562.1317869296	7559.24780626506	7559.44551547611	10758.97335	10770.2429013963	10766.431441284	10760.9074738225	14035.5744	14011.9626350803	14008.4543250274	13989.1482450893	17185.79855	17221.2561318207	17218.2903802057	17183.6227549808
1096.4774	1071.38952634052	1068.93954618536	1070.77633318328	4258.97475	4266.45613845873	4264.77631733282	4266.35442250828	7562.6368	7565.74706617238	7560.53149570047	7561.86398368726	10777.41455	10777.4893259801	10770.5441587684	10764.3492395719	14080.6433	14024.4535252168	14017.9677813568	13992.9770025603	17254.14685	17238.2755515557	17232.7536690604	17187.0239144534
