;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.49120        -0.00020        0.0000          182.0294        -50.16          0.000
0.770          0.0002          -0.0006         -1.48700        -0.00020        0.0000          182.0111        -50.12          0.000
1.520          0.0002          -0.0006         -1.48440        -0.00020        0.0000          181.9928        -50.16          0.000
2.251          0.0002          -0.0006         -1.48680        -0.00020        0.0000          181.9653        -50.16          0.000
3.011          0.0002          -0.0006         -1.48830        -0.00020        0.0000          181.9470        -50.12          0.000
3.761          0.0002          -0.0006         -1.49180        -0.00020        0.0000          181.9286        -50.16          0.000
4.502          0.0002          -0.0006         -1.49470        -0.00020        0.0000          181.9195        -50.16          0.000
5.262          0.0002          -0.0006         -1.49450        -0.00020        0.0000          181.9011        -50.16          0.000
6.012          0.0002          -0.0006         -1.49280        -0.00020        0.0000          181.8736        -50.16          0.000
6.752          0.0002          -0.0006         -1.48720        -0.00020        0.0000          181.8645        -50.16          0.000
7.513          0.0002          -0.0006         -1.48870        -0.00020        0.0000          181.8461        -50.16          0.000
8.253          0.0002          -0.0006         -1.49180        -0.00020        0.0000          181.8187        -50.16          0.000
9.003          0.0002          -0.0006         -1.49180        -0.00020        0.0000          181.8003        -50.12          0.000
9.753          0.0002          -0.0006         -1.49870        -0.00020        0.0000          181.7820        -50.16          0.000
10.513         0.0002          -0.0006         -1.49860        -0.00020        0.0000          181.7637        -50.12          0.000
11.253         0.0002          -0.0006         -1.49530        -0.00020        0.0000          181.7453        -50.16          0.000
12.003         0.0002          -0.0006         -1.49220        -0.00020        0.0000          181.7270        -50.16          0.000
12.753         0.0002          -0.0006         -1.49260        -0.00020        0.0000          181.7178        -50.16          0.000
13.503         0.0002          -0.0006         -1.49450        -0.00020        0.0000          181.6903        -50.16          0.000
14.254         0.0002          -0.0006         -1.49650        -0.00020        0.0000          181.6720        -50.16          0.000
15.004         0.0002          -0.0006         -1.50000        -0.00020        0.0000          181.6445        -50.16          0.000
15.754         0.0002          -0.0006         -1.50140        -0.00020        0.0000          181.6354        -50.16          0.000
16.504         0.0002          -0.0006         -1.49880        -0.00020        0.0000          181.6170        -50.16          0.000
17.264         0.0002          -0.0006         -1.49320        -0.00020        0.0000          181.5987        -50.16          0.000
18.005         0.0002          -0.0006         -1.49410        -0.00020        0.0000          181.5804        -50.12          0.000
18.754         0.0002          -0.0005         -1.49780        -0.00020        0.0000          181.5620        -50.12          0.000
19.504         0.0002          -0.0006         -1.49750        -0.00020        0.0000          181.5437        -50.16          0.000
20.265         0.0002          -0.0006         -1.50430        -0.00020        0.0000          181.5254        -50.16          0.000
21.006         0.0002          -0.0006         -1.50470        -0.00020        0.0000          181.4979        -50.16          0.000
21.764         0.0002          -0.0006         -1.50060        -0.00020        0.0000          181.4887        -50.16          0.000
22.505         0.0002          -0.0006         -1.49810        -0.00020        0.0000          181.4612        -50.16          0.000
23.265         0.0002          -0.0006         -1.49930        -0.00020        0.0000          181.4429        -50.16          0.000
24.005         0.0002          -0.0006         -1.50100        -0.00020        0.0000          181.4337        -50.16          0.000
24.756         0.0002          -0.0006         -1.50460        -0.00020        0.0000          181.4154        -50.16          0.000
25.506         0.0002          -0.0006         -1.50690        -0.00020        0.0000          181.3879        -50.16          0.000
26.255         0.0002          -0.0006         -1.50760        -0.00020        0.0000          181.3696        -50.16          0.000
27.006         0.0002          -0.0006         -1.50510        -0.00020        0.0000          181.3421        -50.16          0.000
27.757         0.0002          -0.0006         -1.49970        -0.00020        0.0000          181.3329        -50.16          0.000
28.517         0.0002          -0.0006         -1.50270        -0.00020        0.0000          181.3146        -50.12          0.000
29.257         0.0002          -0.0006         -1.50310        -0.00020        0.0000          181.2963        -50.16          0.000
30.017         0.0002          -0.0006         -1.50660        -0.00020        0.0000          181.2779        -50.16          0.000
30.757         0.0002          -0.0006         -1.51110        -0.00020        0.0000          181.2596        -50.16          0.000
31.507         0.0002          -0.0006         -1.51010        -0.00020        0.0000          181.2321        -50.12          0.000
32.257         0.0002          -0.0006         -1.50590        -0.00020        0.0000          181.2138        -50.16          0.000
33.017         0.0002          -0.0006         -1.50250        -0.00020        0.0000          181.2046        -50.16          0.000
33.762         0.0002          -0.0006         -1.50660        -0.00020        0.0000          181.1863        -50.16          0.000
34.503         0.0002          -0.0006         -1.50690        -0.00020        0.0000          181.1588        -50.16          0.000
35.253         0.0002          -0.0006         -1.51150        -0.00020        0.0000          181.1496        -50.16          0.000
36.002         0.0002          -0.0006         -1.51360        -0.00020        0.0000          181.1313        -50.16          0.000
36.763         0.0002          -0.0006         -1.51150        -0.00020        0.0000          181.1130        -50.16          0.000
37.503         0.0002          -0.0006         -1.50820        -0.00020        0.0000          181.0855        -50.16          0.000
38.253         0.0002          -0.0006         -1.50700        -0.00020        0.0000          181.0671        -50.16          0.000
39.003         0.0002          -0.0006         -1.50920        -0.00020        0.0000          181.0488        -50.12          0.000
39.764         0.0002          -0.0006         -1.50950        -0.00020        0.0000          181.0305        -50.16          0.000
40.504         0.0002          -0.0006         -1.51430        -0.00020        0.0000          181.0122        -50.12          0.000
41.266         0.0002          -0.0006         -1.51550        -0.00020        0.0000          180.9938        -50.12          0.000
42.006         0.0002          -0.0006         -1.51360        -0.00020        0.0000          180.9755        -50.16          0.000
42.759         0.0002          -0.0006         -1.50820        -0.00020        0.0000          180.9572        -50.16          0.000
43.519         0.0002          -0.0006         -1.50880        -0.00020        0.0000          180.9297        -50.12          0.000
44.260         0.0002          -0.0006         -1.51160        -0.00020        0.0000          180.9205        -50.16          0.000
45.020         0.0002          -0.0006         -1.51230        -0.00020        0.0000          180.9022        -50.12          0.000
45.770         0.0002          -0.0006         -1.51780        -0.00020        0.0000          180.8747        -50.16          0.000
46.501         0.0002          -0.0006         -1.51760        -0.00020        0.0000          180.8655        -50.12          0.000
47.262         0.0002          -0.0006         -1.51380        -0.00020        0.0000          180.8380        -50.16          0.000
48.012         0.0002          -0.0006         -1.50970        -0.00020        0.0000          180.8289        -50.16          0.000
48.752         0.0002          -0.0005         -1.51270        -0.00020        0.0000          180.8014        -50.16          0.000
