temp,dep,ab1,peak1,sig1,ab1_err,peak1_err,sig1_err,ab2,peak2,sig2,ab2_err,peak2_err,sig2_err,ab3,peak3,sig3,ab3_err,peak3_err,sig3_err,ab4,peak4,sig4,ab4_err,peak4_err,sig4_err
20.0,1.0,0.19823167,8.56865137,0.38525891,0.00124205,0.00221019,0.0033929,0.04360354,7.99176428,0.17158084,0.00148127,0.00360825,0.0045593,0.24642083,10.87976636,1.2,0.00185527,0.02924027,0.02269884,0.00369529,6.45,0.25,0.00037154,0.02971863,0.02993189
20.0,2.0,0.40823454,8.57957287,0.39217915,0.00238233,0.00199804,0.00315747,0.0810054,8.00018358,0.16678746,0.00274897,0.00350932,0.00466606,0.53093159,10.8011594,1.2,0.00265554,0.0204472,0.0174682,0.00593732,6.51221628,0.16066843,0.0009217,0.02896879,0.02925924
20.0,3.0,0.60565171,8.58358714,0.38963335,0.00384138,0.0021482,0.00341526,0.11904311,8.00668956,0.16514002,0.00441765,0.00384091,0.00508515,0.80028546,10.81408018,1.2,0.00450679,0.02277091,0.01912853,0.01031843,6.51086496,0.17866422,0.00141939,0.02862987,0.02891858
20.0,4.0,0.79914372,8.58368029,0.39546031,0.00563498,0.0023397,0.00379957,0.15581405,8.00424094,0.16541781,0.00634592,0.0040946,0.00559581,1.06985225,10.83058258,1.2,0.00679166,0.0254625,0.02125939,0.01010757,6.50009329,0.13401638,0.00232964,0.03575129,0.03603341
30.0,1.0,0.14896554,8.55949463,0.39089345,0.00063366,0.00149327,0.00229287,0.034382,7.9765489,0.17284219,0.00074074,0.00230939,0.00294525,0.1685523,10.80571236,1.2,0.00072005,0.01776943,0.01504978,0.00923267,6.50820482,0.20790364,0.0002083,0.00550816,0.00557405
30.0,2.0,0.34155056,8.58669239,0.38628094,0.00227425,0.00214951,0.0034998,0.06781388,8.00222328,0.16227825,0.00251143,0.00414626,0.00526756,0.46017338,10.80175567,1.2,0.00267223,0.02346136,0.01969811,0.01099274,6.4965235,0.19602855,0.00084079,0.01751657,0.01768279
30.0,3.0,0.55111148,8.59061298,0.39080942,0.00254488,0.00141353,0.00237999,0.1057979,7.997796,0.16324653,0.00266125,0.00286917,0.0036297,0.73379416,10.81236618,1.2,0.00301232,0.01660625,0.01395147,0.01580467,6.53678522,0.19153771,0.00092331,0.01308112,0.01323652
30.0,4.0,0.73232649,8.59238768,0.38996055,0.00526293,0.00231737,0.00380527,0.14314414,8.0077775,0.16217321,0.00579972,0.00440492,0.00572979,0.98047387,10.80921942,1.2,0.00620336,0.02535585,0.02129469,0.01695293,6.50013871,0.16137821,0.00211641,0.02338998,0.0235896
30.0,5.0,0.88984424,8.5919247,0.39471315,0.00516703,0.00179503,0.00303797,0.16929246,8.00159105,0.16277834,0.00546072,0.00351135,0.00460523,1.19775326,10.82617726,1.2,0.00627931,0.02094933,0.01747599,0.01735033,6.51792895,0.14959355,0.00208845,0.0208784,0.02106761
40.0,1.0,0.19809893,8.58507591,0.38386672,0.00103026,0.00169374,0.00271233,0.04289473,7.98633745,0.17051993,0.0011305,0.0032538,0.00383037,0.24086224,10.89026896,1.2,0.00166738,0.02614692,0.01984589,0.00494338,6.46136715,0.19139364,0.00038073,0.01716907,0.0172714
40.0,2.0,0.39497337,8.59772873,0.38678301,0.00235408,0.00184757,0.0030729,0.0764964,8.00033434,0.16238918,0.0024958,0.00391387,0.00481317,0.51941102,10.81538744,1.2,0.0029451,0.02241021,0.01842686,0.00724264,6.48339691,0.15998265,0.00098892,0.02534424,0.02552423
