Temperature(K) PeakPosition(eV)
2.000000000000000000e+01 3.000000000000000000e+00 8.583587140000000559e+00
3.000000000000000000e+01 3.000000000000000000e+00 8.590612979999999510e+00
4.000000000000000000e+01 3.000000000000000000e+00 8.600550670000000508e+00
5.000000000000000000e+01 3.000000000000000000e+00 8.604616849999999317e+00
6.000000000000000000e+01 2.000000000000000000e+00 8.610106169999999892e+00
7.000000000000000000e+01 3.000000000000000000e+00 8.615231530000000859e+00
8.000000000000000000e+01 3.000000000000000000e+00 8.621800280000000427e+00
8.000000000000000000e+01 4.000000000000000000e+00 8.623740809999999257e+00
9.000000000000000000e+01 3.000000000000000000e+00 8.626678139999999217e+00
1.000000000000000000e+02 2.000000000000000000e+00 8.623222430000000216e+00
1.000000000000000000e+02 3.000000000000000000e+00 8.627825939999999250e+00
1.100000000000000000e+02 2.000000000000000000e+00 8.622644720000000262e+00
1.100000000000000000e+02 3.000000000000000000e+00 8.626900190000000634e+00
1.200000000000000000e+02 3.000000000000000000e+00 8.619251110000000438e+00
1.200000000000000000e+02 4.000000000000000000e+00 8.623801609999999229e+00
1.250000000000000000e+02 3.000000000000000000e+00 8.609258150000000498e+00
1.275000000000000000e+02 2.000000000000000000e+00 8.641600909999999303e+00
1.300000000000000000e+02 4.000000000000000000e+00 8.636007949999999767e+00
1.350000000000000000e+02 4.000000000000000000e+00 8.625294099999999631e+00
1.375000000000000000e+02 4.000000000000000000e+00 8.617452489999999798e+00
1.400000000000000000e+02 4.000000000000000000e+00 8.608192389999999250e+00
1.400000000000000000e+02 5.000000000000000000e+00 8.601350950000000495e+00
