Temperature(K) PeakPosition(nm)
2.000000000000000000e+01 8.006688979999999844e+00
3.000000000000000000e+01 7.997795799999999566e+00
4.000000000000000000e+01 7.996864320000000248e+00
5.000000000000000000e+01 7.989567560000000235e+00
6.000000000000000000e+01 7.988438440000000362e+00
7.000000000000000000e+01 7.987707849999999610e+00
8.000000000000000000e+01 7.988839859999999682e+00
8.000000000000000000e+01 7.992921449999999872e+00
9.000000000000000000e+01 7.990128089999999794e+00
1.000000000000000000e+02 7.993579780000000135e+00
1.000000000000000000e+02 7.991383039999999660e+00
1.100000000000000000e+02 7.990235339999999908e+00
1.100000000000000000e+02 7.985420040000000164e+00
1.200000000000000000e+02 7.985104790000000285e+00
1.200000000000000000e+02 7.982050619999999874e+00
1.250000000000000000e+02 7.971872750000000174e+00
1.275000000000000000e+02 7.980967449999999630e+00
1.300000000000000000e+02 7.978083289999999828e+00
1.350000000000000000e+02 7.970184729999999718e+00
1.375000000000000000e+02 7.960385010000000428e+00
1.400000000000000000e+02 7.958006570000000224e+00
1.400000000000000000e+02 7.959771059999999565e+00
